main_match_ratio,other_match_ratio,staple_match_ratio,missing_main_count,missing_other_count,missing_staple_count,calories,protein,fat,protein_ratio,fat_ratio,region_match,is_vegan_safe,is_vegetarian_safe_absolute,is_flexible_safe_absolute,is_user_diet_safe,low_calorie_penalty,preferred_main_overlap,preferred_course_overlap,within_cooking_time,relevance,qid
0.0,0.6666666666666666,0.0,0,1,2,465.9,0,0,0.0,0.0,0,0,1,1,1,1,0,0,1,0.0,0
0.0,0.5,0.0,0,1,0,95.3,0,0,0.0,0.0,0,1,1,1,1,1,0,0,1,3.0,0
0.0,0.5,0.0,0,1,1,149.6,0,0,0.0,0.0,0,0,1,1,1,1,0,0,1,1.0,0
0.0,0.5,0.0,0,1,1,71.0,0,0,0.0,0.0,0,0,1,1,1,1,0,0,1,0.0,0
0.0,0.5,0.0,0,2,0,116.8,0,0,0.0,0.0,0,0,1,1,1,1,0,0,1,2.0,0
0.0,0.6666666666666666,0.0,0,1,2,465.9,0,0,0.0,0.0,0,0,1,1,1,1,0,0,1,0.0,1
0.0,0.5,0.0,0,1,2,115.2,0,0,0.0,0.0,0,0,1,1,1,1,0,0,1,0.0,1
0.0,0.5,0.0,0,1,1,2332.3,0,0,0.0,0.0,0,0,1,1,1,1,0,0,1,1.0,1
0.0,0.5,0.0,0,1,0,65.5,0,0,0.0,0.0,0,0,1,1,1,1,0,0,1,3.0,1
0.0,0.5,0.0,0,1,0,75.5,0,0,0.0,0.0,0,0,1,1,1,1,0,0,1,2.0,1
0.0,0.5,0.0,0,1,0,75.5,0,0,0.0,0.0,0,0,1,1,1,1,0,0,1,3.0,2
0.0,0.3333333333333333,0.0,0,2,0,172.3,0,0,0.0,0.0,0,0,1,1,1,1,0,0,1,2.0,2
0.0,0.3333333333333333,0.0,0,2,0,174.5,0,0,0.0,0.0,0,0,1,1,1,1,0,0,1,1.0,2
0.0,0.3333333333333333,0.0,0,2,0,99.0,0,0,0.0,0.0,0,1,1,1,1,1,0,0,1,0.0,2
0.0,0.3333333333333333,0.0,0,2,0,155.8,0,0,0.0,0.0,0,0,1,1,1,1,0,0,1,0.0,2
0.0,0.5,0.0,0,1,0,75.5,0,0,0.0,0.0,0,0,1,1,1,1,0,0,1,3.0,3
0.0,0.3333333333333333,0.0,0,2,0,172.3,0,0,0.0,0.0,0,0,1,1,1,1,0,0,1,2.0,3
0.0,0.3333333333333333,0.0,0,2,0,174.5,0,0,0.0,0.0,0,0,1,1,1,1,0,0,1,1.0,3
0.0,0.3333333333333333,0.0,0,2,0,99.0,0,0,0.0,0.0,0,1,1,1,1,1,0,0,1,0.0,3
0.0,0.3333333333333333,0.0,0,2,0,155.8,0,0,0.0,0.0,0,0,1,1,1,1,0,0,1,0.0,3
0.0,1.0,0.0,0,0,2,84.9,0,0,0.0,0.0,0,0,1,1,1,1,0,0,1,0.0,4
0.0,0.5,0.0,0,1,1,1021.7,0,0,0.0,0.0,0,0,1,1,1,1,0,0,1,3.0,4
0.0,0.5,0.0,0,1,1,149.6,0,0,0.0,0.0,0,0,1,1,1,1,0,0,1,2.0,4
0.0,0.5,0.0,0,1,1,297.8,0,0,0.0,0.0,0,0,1,1,1,1,0,0,1,1.0,4
0.0,0.5,0.0,0,1,1,145.1,0,0,0.0,0.0,0,0,1,1,1,1,0,0,1,0.0,4
0.0,1.0,0.0,0,0,2,84.9,0,0,0.0,0.0,0,0,1,1,1,1,0,0,1,0.0,5
0.0,0.5,0.0,0,1,1,455.8,0,0,0.0,0.0,0,0,1,1,1,1,0,0,1,2.0,5
0.0,0.5,0.0,0,1,1,750.4,0,0,0.0,0.0,0,0,1,1,1,1,0,0,1,1.0,5
0.0,0.5,0.0,0,1,0,1418.2,0,0,0.0,0.0,0,0,1,1,1,1,0,0,1,3.0,5
0.0,0.5,0.0,0,1,1,170.1,0,0,0.0,0.0,0,0,1,1,1,1,0,0,1,0.0,5
0.0,1.0,0.0,0,0,2,84.9,0,0,0.0,0.0,0,0,1,1,1,1,0,0,1,2.0,6
0.0,0.0,1.0,1,2,0,422.1,0,0,0.0,0.0,0,0,0,0,1,1,0,0,1,1.0,6
0.0,0.0,1.0,1,4,0,196.6,0,0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,6
0.0,0.6666666666666666,0.0,0,1,0,85.9,0,0,0.0,0.0,0,0,1,1,1,1,0,0,1,3.0,6
0.0,0.0,1.0,2,1,0,116.3,0,0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,6
1.0,0.0,0.0,0,4,1,224.1,0,0,0.0,0.0,0,0,1,1,1,1,0,0,1,2.0,9
1.0,0.0,0.0,0,3,0,254.9,0,0,0.0,0.0,0,0,1,1,1,1,0,0,1,3.0,9
0.5,0.0,0.0,1,4,0,214.0,0,0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,9
0.5,0.0,0.0,1,4,1,422.0,0,0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,9
0.5,0.0,0.0,1,2,0,238.5,0,0,0.0,0.0,0,0,0,0,1,1,0,0,1,1.0,9
