main_match_ratio,other_match_ratio,staple_match_ratio,missing_main_count,missing_other_count,missing_staple_count,calories,protein,fat,protein_ratio,fat_ratio,region_match,is_vegan_safe,is_vegetarian_safe_absolute,is_flexible_safe_absolute,is_user_diet_safe,low_calorie_penalty,preferred_main_overlap,preferred_course_overlap,within_cooking_time,relevance,qid
0.0,1.0,0.0,0,0,2,249.5,0,0,0.0,0.0,0,1,1,1,1,1,0,0,1,0.0,0
0.0,0.5,0.0,0,1,1,173.7,0,0,0.0,0.0,0,0,0,0,1,1,0,0,1,1.0,0
0.0,0.5,0.0,0,1,0,64.4,0,0,0.0,0.0,0,0,0,0,1,1,0,0,1,3.0,0
0.0,0.3333333333333333,0.0,0,2,0,165.5,0,0,0.0,0.0,0,1,1,1,1,1,0,0,1,2.0,0
0.0,0.5,0.0,0,1,1,2208.2,0,0,0.0,0.0,0,0,0,0,1,1,0,0,0,0.0,0
0.0,1.0,0.0,0,0,1,2208.2,0,0,0.0,0.0,0,0,0,0,1,1,0,0,0,0.0,1
0.0,0.5,0.0,0,1,0,190.1,0,0,0.0,0.0,0,1,1,1,1,1,0,0,1,3.0,1
0.0,0.5,0.0,0,1,0,65.5,0,0,0.0,0.0,0,1,1,1,1,1,0,0,1,2.0,1
0.0,0.5,0.0,0,1,1,555.8,0,0,0.0,0.0,0,1,1,1,1,1,0,0,1,0.0,1
0.0,0.5,0.0,0,1,0,785.7,0,0,0.0,0.0,0,1,1,1,1,1,0,0,1,1.0,1
0.0,0.5,0.0,0,1,1,783.3,0,0,0.0,0.0,0,1,1,1,1,1,0,0,1,2.0,3
0.0,0.5,0.0,0,1,1,555.8,0,0,0.0,0.0,0,1,1,1,1,1,0,0,1,1.0,3
0.0,0.5,0.0,0,1,1,252.5,0,0,0.0,0.0,0,0,1,1,1,1,0,0,1,0.0,3
0.0,0.5,0.0,0,1,0,785.7,0,0,0.0,0.0,0,1,1,1,1,1,0,0,1,3.0,3
0.0,0.3333333333333333,0.0,0,2,1,416.5,0,0,0.0,0.0,0,1,1,1,1,1,0,0,1,0.0,3
0.0,0.5,0.0,0,1,1,783.3,0,0,0.0,0.0,0,1,1,1,1,1,0,0,1,2.0,4
0.0,0.5,0.0,0,1,1,555.8,0,0,0.0,0.0,0,1,1,1,1,1,0,0,1,1.0,4
0.0,0.5,0.0,0,1,1,252.5,0,0,0.0,0.0,0,0,1,1,1,1,0,0,1,0.0,4
0.0,0.5,0.0,0,1,0,785.7,0,0,0.0,0.0,0,1,1,1,1,1,0,0,1,3.0,4
0.0,0.3333333333333333,0.0,0,2,1,416.5,0,0,0.0,0.0,0,1,1,1,1,1,0,0,1,0.0,4
0.0,0.0,0.5,0,2,1,164.4,0,0,0.0,0.0,0,1,1,1,1,1,0,0,1,0.0,5
0.0,0.5,0.0,0,1,0,1418.2,0,0,0.0,0.0,0,0,1,1,1,1,0,0,1,3.0,5
0.0,0.5,0.0,0,1,1,252.5,0,0,0.0,0.0,0,0,1,1,1,1,0,0,1,1.0,5
0.0,0.5,0.0,0,1,1,783.3,0,0,0.0,0.0,0,1,1,1,1,1,0,0,1,0.0,5
0.0,0.5,0.0,0,1,0,785.7,0,0,0.0,0.0,0,1,1,1,1,1,0,0,1,2.0,5
0.0,0.0,1.0,0,5,0,72.2,0,0,0.0,0.0,0,0,1,1,1,1,0,0,1,0.0,6
0.0,0.0,1.0,0,4,0,277.7,0,0,0.0,0.0,0,1,1,1,1,1,0,0,0,0.0,6
0.0,0.5,0.0,0,1,0,112.1,0,0,0.0,0.0,0,0,1,1,1,1,0,0,1,3.0,6
0.0,0.5,0.0,0,1,0,1418.2,0,0,0.0,0.0,0,0,1,1,1,1,0,0,1,2.0,6
0.0,0.3333333333333333,0.0,0,2,0,594.6,0,0,0.0,0.0,0,0,1,1,1,1,0,0,1,1.0,6
1.0,0.0,0.0,0,3,0,423.4,0,0,0.0,0.0,0,0,0,0,1,1,0,0,1,3.0,7
1.0,0.0,0.0,0,2,2,205.6,0,0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,7
1.0,0.0,0.0,0,5,0,502.9,0,0,0.0,0.0,0,0,0,0,1,1,0,0,1,2.0,7
1.0,0.0,0.0,0,12,0,474.1,0,0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,7
1.0,0.0,0.0,0,5,0,273.1,0,0,0.0,0.0,0,0,0,0,1,1,0,0,1,1.0,7
1.0,0.0,0.0,0,3,0,423.4,0,0,0.0,0.0,0,0,0,0,1,1,0,0,1,3.0,8
1.0,0.0,0.0,0,12,0,474.1,0,0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,8
1.0,0.0,0.0,0,5,0,273.1,0,0,0.0,0.0,0,0,0,0,1,1,0,0,1,1.0,8
1.0,0.0,0.0,0,2,1,273.3,0,0,0.0,0.0,0,0,0,0,1,1,0,0,1,2.0,8
1.0,0.0,0.0,0,5,0,502.9,0,0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,8
1.0,0.0,0.0,0,3,0,423.4,0,0,0.0,0.0,0,0,0,0,1,1,0,0,1,3.0,9
1.0,0.0,0.0,0,12,0,474.1,0,0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,9
1.0,0.0,0.0,0,5,0,273.1,0,0,0.0,0.0,0,0,0,0,1,1,0,0,1,1.0,9
1.0,0.0,0.0,0,2,1,273.3,0,0,0.0,0.0,0,0,0,0,1,1,0,0,1,2.0,9
1.0,0.0,0.0,0,5,0,502.9,0,0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,9
1.0,0.0,0.0,0,3,1,651.1,0,0,0.0,0.0,0,0,0,0,1,1,0,0,1,3.0,10
1.0,0.0,0.0,0,6,0,357.6,0,0,0.0,0.0,0,0,0,0,1,1,0,0,1,1.0,10
1.0,0.0,0.0,0,8,1,515.8,0,0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,10
1.0,0.0,0.0,0,3,1,59.0,0,0,0.0,0.0,0,0,0,0,1,1,0,0,1,2.0,10
1.0,0.0,0.0,0,8,1,853.3,0,0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,10
1.0,0.0,0.0,0,8,1,853.3,0,0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,11
1.0,0.0,0.0,0,3,1,651.1,0,0,0.0,0.0,0,0,0,0,1,1,0,0,1,3.0,11
1.0,0.0,0.0,0,8,1,515.8,0,0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,11
1.0,0.0,0.0,0,6,0,357.6,0,0,0.0,0.0,0,0,0,0,1,1,0,0,1,1.0,11
1.0,0.0,0.0,0,3,1,59.0,0,0,0.0,0.0,0,0,0,0,1,1,0,0,1,2.0,11
1.0,0.0,0.0,0,8,1,853.3,0,0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,12
1.0,0.0,0.0,0,3,1,651.1,0,0,0.0,0.0,0,0,0,0,1,1,0,0,1,3.0,12
1.0,0.0,0.0,0,8,1,515.8,0,0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,12
1.0,0.0,0.0,0,6,0,357.6,0,0,0.0,0.0,0,0,0,0,1,1,0,0,1,1.0,12
1.0,0.0,0.0,0,3,1,59.0,0,0,0.0,0.0,0,0,0,0,1,1,0,0,1,2.0,12
1.0,0.0,0.0,0,8,1,515.8,0,0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,13
